Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID,W,L,OT/SO,Shutouts,all_history,evs_history,gpk_history,team_history
2019-2020,Aaron Dell,SJS,G,45.0,48.0,27.0,30.0,54.0,43.0,43.0,39.0,54.0,56.0,56.0,48.0,56.0,Tandem (1B),33,1835.2333333333,0.907,3.01,87.67,92,30,1989-05-04,CAN,CAN,72,213,-,-,-,8477180.0,12,15,3,0,"[None, 92, 57, 14, 53]","[None, 97, 41, 26, 38]","[None, 29, 71, 15, 71]","[None, 'SJS', 'SJS', 'SJS', 'SJS']"
2019-2020,Adin Hill,ARI,G,29.0,34.0,60.0,22.0,16.0,42.0,49.0,27.0,40.0,12.0,14.0,9.0,50.0,Backup,13,640.76666666667,0.918,2.62,29.1,28,23,1996-05-11,CAN,CAN,76,215,2015,3,76,8478499.0,2,4,3,0,"[None, None, None, 44, 70]","[None, None, None, 9, 91]","[None, None, None, 44, 8]","[None, None, None, 'ARI', 'ARI']"
2019-2020,Alex Stalock,MIN,G,60.0,58.0,44.0,21.0,59.0,52.0,6.0,2.0,35.0,46.0,46.0,46.0,40.0,Tandem (1A),38,2177.35,0.91,2.67,80.66,97,32,1987-07-28,USA,USA,71,170,2005,4,112,8471774.0,20,11,4,4,"[0, None, 26, 11, 12]","[0, None, 13, 24, 17]","[44, None, 75, 8, 53]","['SJS', None, 'MIN', 'MIN', 'MIN']"
2019-2020,Alexandar Georgiev,NYR,G,10.0,26.0,5.0,37.0,41.0,32.0,31.0,57.0,33.0,51.0,51.0,51.0,27.0,Tandem (1B),34,1891.7333333333,0.91,3.04,96.54,96,23,1996-02-10,RUS,RUS,73,178,-,-,-,8480382.0,17,14,2,2,"[None, None, None, 89, 77]","[None, None, None, 62, 67]","[None, None, None, 97, 89]","[None, None, None, 'NYR', 'NYR']"
2019-2020,Anders Nilsson,OTT,G,55.0,56.0,26.0,13.0,53.0,51.0,17.0,48.0,41.0,49.0,49.0,47.0,49.0,Backup,20,1093.2666666667,0.908,3.18,49.55,58,29,1990-03-19,SWE,SWE,78,232,2009,3,62,8475195.0,9,9,2,0,"[21, 90, 19, 35, 21]","[21, 85, 28, 41, 12]","[43, 71, 15, 27, 80]","['STL', 'BUF', 'VAN', 'VAN', 'OTT']"
2019-2020,Andrei Vasilevskiy,TBL,G,24.0,29.0,30.0,15.0,7.0,21.0,23.0,34.0,4.0,11.0,13.0,21.0,1.0,Starter,52,3124.6333333333,0.917,2.55,124.43,133,25,1994-07-25,RUS,RUS,76,220,2012,1,19,8476883.0,35,14,3,3,"[16, 34, 35, 83, 45]","[24, 34, 53, 65, 47]","[21, 58, 25, 82, 44]","['TBL', 'TBL', 'TBL', 'TBL', 'TBL']"
2019-2020,Anton Khudobin,DAL,G,11.0,3.0,54.0,7.0,8.0,8.0,19.0,13.0,1.0,1.0,2.0,2.0,12.0,Tandem (1B),30,1677.4833333333,0.93,2.22,65.45,62,33,1986-05-07,KAZ,RUS,71,210,2004,7,206,8471418.0,16,8,4,0,"[None, 27, 53, 86, 76]","[None, 21, 56, 68, 95]","[None, 73, 44, 59, 11]","[None, 'BOS', 'BOS', 'DAL', 'DAL']"
2019-2020,Antti Raanta,ARI,G,3.0,12.0,6.0,4.0,3.0,55.0,65.0,42.0,16.0,6.0,5.0,3.0,15.0,Tandem (1B),33,1822.9,0.921,2.63,85.19,80,30,1989-05-12,FIN,FIN,72,195,-,-,-,8477293.0,15,14,3,2,"[87, 77, 97, None, 88]","[79, 84, 91, None, 68]","[72, 13, 81, None, 85]","['NYR', 'NYR', 'ARI', None, 'ARI']"
2019-2020,Ben Bishop,DAL,G,6.0,16.0,11.0,51.0,27.0,4.0,14.0,17.0,7.0,4.0,4.0,7.0,8.0,Starter,44,2474.1833333333,0.92,2.5,107.11,103,32,1986-11-21,USA,USA,79,210,2005,3,85,8471750.0,21,16,4,2,"[69, 42, 62, 95, 80]","[43, 58, 46, 91, 61]","[78, 60, 60, 88, 74]","['TBL', 'TBL', 'DAL', 'DAL', 'DAL']"
2019-2020,Braden Holtby,WSH,G,42.0,44.0,52.0,38.0,25.0,57.0,56.0,43.0,45.0,30.0,31.0,22.0,41.0,Starter,48,2743.1666666667,0.897,3.11,122.96,142,29,1989-09-16,CAN,CAN,73,215,2008,4,93,8474651.0,25,14,6,0,"[81, 94, 65, 85, 17]","[72, 95, 65, 88, 20]","[51, 21, 59, 23, 32]","['WSH', 'WSH', 'WSH', 'WSH', 'WSH']"
