Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID,W,L,OT/SO,Shutouts,all_history,evs_history,gpk_history,team_history
2007-2008,Alex Auld,BOS,G,36.0,22.0,52.0,26.0,24.0,17.0,20.0,15.0,44.0,53.0,54.0,50.0,35.0,Backup,32,1722.2833333333,0.907,2.68,68.16,77,26,1981-01-07,CAN,CAN,76,215,1999,2,40,8467913,12,13,5,3,[38],[62],[10],['PHX']
2007-2008,Alex Auld,PHX,G,36.0,22.0,52.0,26.0,24.0,17.0,20.0,15.0,44.0,53.0,54.0,50.0,35.0,Backup,32,1722.2833333333,0.907,2.68,68.16,77,26,1981-01-07,CAN,CAN,76,215,1999,2,40,8467913,12,13,5,3,[38],[62],[10],['PHX']
2007-2008,Andrew Raycroft,TOR,G,53.0,57.0,28.0,39.0,48.0,58.0,50.0,48.0,58.0,57.0,57.0,56.0,57.0,Backup,19,964.7,0.876,3.92,50.08,63,27,1980-05-04,CAN,CAN,73,180,1998,5,135,8467453,2,9,5,1,[9],[2],[52],['TOR']
2007-2008,Antero Niittymaki,PHI,G,39.0,27.0,51.0,3.0,54.0,27.0,49.0,54.0,34.0,34.0,34.0,34.0,36.0,Backup,28,1404.9,0.907,2.95,59.79,69,27,1980-06-18,FIN,FIN,73,195,1998,6,168,8467511,12,9,2,1,[33],[53],[12],['PHI']
2007-2008,Brent Johnson,WSH,G,32.0,45.0,15.0,35.0,27.0,49.0,21.0,27.0,32.0,17.0,17.0,11.0,42.0,Backup,19,1032.0166666667,0.908,2.67,41.45,46,30,1977-03-12,USA,USA,75,199,1995,5,129,8462161,7,8,2,0,[45],[22],[74],['WSH']
2007-2008,Cam Ward,CAR,G,26.0,21.0,38.0,32.0,17.0,35.0,54.0,37.0,41.0,30.0,30.0,27.0,31.0,Starter,69,3930.1333333333,0.904,2.75,171.52,180,23,1984-02-29,CAN,CAN,73,194,2002,1,25,8470320,37,25,5,4,[55],[64],[34],['CAR']
2007-2008,Carey Price,MTL,G,5.0,11.0,12.0,19.0,8.0,24.0,35.0,50.0,9.0,21.0,21.0,28.0,7.0,Tandem (1A),41,2413.3666666667,0.92,2.56,110.5,103,20,1987-08-16,CAN,CAN,75,217,2005,1,5,8471679,24,12,3,3,[91],[81],[79],['MTL']
2007-2008,Chris Mason,NSH,G,50.0,46.0,39.0,11.0,39.0,52.0,22.0,30.0,45.0,46.0,46.0,45.0,45.0,Starter,51,2691.8333333333,0.898,2.9,104.52,130,31,1976-04-20,CAN,CAN,72,198,1995,5,122,8462152,18,22,6,4,[14],[21],[33],['NSH']
2007-2008,Chris Osgood,DET,G,22.0,29.0,11.0,56.0,23.0,12.0,4.0,5.0,5.0,8.0,8.0,13.0,11.0,Tandem (1A),43,2413.3,0.914,2.09,84.07,84,34,1972-11-26,CAN,CAN,70,180,1991,3,54,8458568,27,9,4,4,[62],[50],[81],['DET']
2007-2008,Craig Anderson,FLA,G,3.0,1.0,49.0,21.0,1.0,9.0,53.0,55.0,8.0,7.0,7.0,1.0,5.0,Backup,17,934.93333333333,0.935,2.25,43.9,35,26,1981-05-21,USA,USA,74,187,2001,3,73,8467950,8,6,1,2,[95],[98],[16],['FLA']
