Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID,Headshot URL
2017-2018,Aaron Dell,SJS,G,16.0,18.0,27.0,5.0,11.0,47.0,54.0,18.0,21.0,2.0,4.0,2.0,17.0,Backup,29,0.913,2.64,66.26,67,28,1989-05-04,CAN,CAN,72,213,-,-,-,-,8477180,https://assets.nhle.com/mugs/nhl/20172018/SJS/8477180.png
2017-2018,Al Montoya,EDM,G,57.0,25.0,68.0,61.0,60.0,42.0,40.0,22.0,45.0,50.0,50.0,46.0,58.0,Backup,13,0.893,3.21,30.15,37,32,1985-02-13,USA,USA,74,200,2004,1,6,6,8471219,https://assets.nhle.com/mugs/nhl/20172018/EDM/8471219.png
2017-2018,Al Montoya,MTL,G,57.0,25.0,68.0,61.0,60.0,42.0,40.0,22.0,45.0,50.0,50.0,46.0,58.0,Backup,13,0.893,3.21,30.15,37,32,1985-02-13,USA,USA,74,200,2004,1,6,6,8471219,https://assets.nhle.com/mugs/nhl/20172018/MTL/8471219.png
2017-2018,Alex Stalock,MIN,G,56.0,58.0,3.0,18.0,44.0,61.0,14.0,17.0,32.0,34.0,38.0,10.0,49.0,Backup,28,0.91,2.85,63.0,71,30,1987-07-28,USA,USA,71,170,2005,4,21,112,8471774,https://assets.nhle.com/mugs/nhl/20172018/MIN/8471774.png
2017-2018,Anders Nilsson,VAN,G,35.0,20.0,53.0,26.0,39.0,38.0,25.0,66.0,59.0,52.0,52.0,53.0,54.0,Backup,27,0.901,3.44,70.28,84,27,1990-03-19,SWE,SWE,78,232,2009,3,1,62,8475195,https://assets.nhle.com/mugs/nhl/20172018/VAN/8475195.png
2017-2018,Andrei Vasilevskiy,TBL,G,13.0,8.0,35.0,54.0,22.0,10.0,3.0,40.0,24.0,17.0,18.0,35.0,10.0,Starter,65,0.92,2.62,151.26,167,23,1994-07-25,RUS,RUS,76,220,2012,1,19,19,8476883,https://assets.nhle.com/mugs/nhl/20172018/TBL/8476883.png
2017-2018,Anton Forsberg,CHI,G,41.0,63.0,44.0,46.0,53.0,33.0,8.0,52.0,51.0,38.0,27.0,16.0,59.0,1B,35,0.908,2.97,77.11,85,24,1992-11-27,SWE,SWE,75,193,2011,7,7,188,8476341,https://assets.nhle.com/mugs/nhl/20172018/CHI/8476341.png
2017-2018,Anton Khudobin,BOS,G,40.0,51.0,11.0,4.0,45.0,54.0,19.0,15.0,56.0,41.0,42.0,48.0,36.0,Backup,31,0.913,2.56,74.12,76,31,1986-05-07,KAZ,RUS,71,210,2004,7,13,206,8471418,https://assets.nhle.com/mugs/nhl/20172018/BOS/8471418.png
2017-2018,Antti Niemi,PIT,G,61.0,43.0,65.0,19.0,36.0,60.0,64.0,58.0,39.0,53.0,53.0,52.0,56.0,Backup,24,0.911,3.12,65.03,63,34,1983-08-29,FIN,FIN,74,209,-,-,-,-,8474550,https://assets.nhle.com/mugs/nhl/20172018/PIT/8474550.png
2017-2018,Antti Niemi,FLA,G,61.0,43.0,65.0,19.0,36.0,60.0,64.0,58.0,39.0,53.0,53.0,52.0,56.0,Backup,24,0.911,3.12,65.03,63,34,1983-08-29,FIN,FIN,74,209,-,-,-,-,8474550,https://assets.nhle.com/mugs/nhl/20172018/FLA/8474550.png
2017-2018,Antti Niemi,MTL,G,61.0,43.0,65.0,19.0,36.0,60.0,64.0,58.0,39.0,53.0,53.0,52.0,56.0,Backup,24,0.911,3.12,65.03,63,34,1983-08-29,FIN,FIN,74,209,-,-,-,-,8474550,https://assets.nhle.com/mugs/nhl/20172018/MTL/8474550.png
2017-2018,Antti Raanta,ARI,G,4.0,7.0,33.0,9.0,4.0,11.0,63.0,34.0,1.0,3.0,2.0,6.0,8.0,1A,47,0.93,2.26,120.97,97,28,1989-05-12,FIN,FIN,72,195,-,-,-,-,8477293,https://assets.nhle.com/mugs/nhl/20172018/ARI/8477293.png
2017-2018,Ben Bishop,DAL,G,25.0,26.0,23.0,55.0,54.0,5.0,21.0,8.0,27.0,27.0,31.0,45.0,24.0,Starter,53,0.916,2.49,122.49,120,30,1986-11-21,USA,USA,79,210,2005,3,24,85,8471750,https://assets.nhle.com/mugs/nhl/20172018/DAL/8471750.png
2017-2018,Braden Holtby,WSH,G,34.0,37.0,36.0,3.0,28.0,59.0,55.0,32.0,16.0,11.0,11.0,13.0,16.0,Starter,54,0.907,2.99,153.29,153,27,1989-09-16,CAN,CAN,73,215,2008,4,2,93,8474651,https://assets.nhle.com/mugs/nhl/20172018/WSH/8474651.png
2017-2018,Brian Elliott,PHI,G,38.0,19.0,54.0,30.0,26.0,49.0,41.0,12.0,49.0,39.0,40.0,19.0,28.0,1A,43,0.909,2.69,107.92,112,32,1985-04-09,CAN,CAN,74,221,2003,9,30,291,8470880,https://assets.nhle.com/mugs/nhl/20172018/PHI/8470880.png
