Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID,Headshot URL
2014-2015,Al Montoya,FLA,G,54.0,60.0,17.0,48.0,61.0,33.0,31.0,27.0,40.0,45.0,45.0,60.0,54.0,Backup,20,0.892,3.07,39.5,49,29,1985-02-13,USA,USA,74,200,2004,1,6,6,8471219,https://assets.nhle.com/mugs/nhl/20142015/FLA/8471219.png
2014-2015,Alex Stalock,SJS,G,34.0,43.0,44.0,6.0,29.0,50.0,15.0,10.0,52.0,52.0,53.0,57.0,38.0,Backup,22,0.902,2.62,50.36,54,27,1987-07-28,USA,USA,71,170,2005,4,21,112,8471774,https://assets.nhle.com/mugs/nhl/20142015/SJS/8471774.png
2014-2015,Anders Lindback,BUF,G,58.0,52.0,45.0,36.0,32.0,60.0,12.0,49.0,60.0,59.0,59.0,43.0,60.0,Backup,26,0.909,3.11,61.08,73,26,1988-05-03,SWE,SWE,78,215,2008,7,26,207,8474765,https://assets.nhle.com/mugs/nhl/20142015/BUF/8474765.png
2014-2015,Anders Lindback,DAL,G,58.0,52.0,45.0,36.0,32.0,60.0,12.0,49.0,60.0,59.0,59.0,43.0,60.0,Backup,26,0.909,3.11,61.08,73,26,1988-05-03,SWE,SWE,78,215,2008,7,26,207,8474765,https://assets.nhle.com/mugs/nhl/20142015/DAL/8474765.png
2014-2015,Andrei Vasilevskiy,TBL,G,7.0,7.0,22.0,61.0,50.0,1.0,2.0,35.0,17.0,31.0,33.0,1.0,33.0,Backup,16,0.918,2.36,32.52,34,20,1994-07-25,RUS,RUS,76,220,2012,1,19,19,8476883,https://assets.nhle.com/mugs/nhl/20142015/TBL/8476883.png
2014-2015,Andrew Hammond,OTT,G,2.0,4.0,1.0,28.0,5.0,2.0,41.0,18.0,2.0,1.0,1.0,2.0,1.0,Backup,24,0.941,1.79,59.23,42,26,1988-02-11,CAN,CAN,74,215,-,-,-,-,8477202,https://assets.nhle.com/mugs/nhl/20142015/OTT/8477202.png
2014-2015,Anton Khudobin,CAR,G,40.0,47.0,12.0,25.0,6.0,56.0,39.0,38.0,33.0,38.0,38.0,42.0,46.0,1B,34,0.901,2.75,81.35,87,28,1986-05-07,KAZ,RUS,71,210,2004,7,13,206,8471418,https://assets.nhle.com/mugs/nhl/20142015/CAR/8471418.png
2014-2015,Antti Niemi,SJS,G,37.0,45.0,46.0,30.0,27.0,43.0,44.0,21.0,46.0,42.0,42.0,31.0,22.0,Starter,61,0.914,2.59,153.22,155,31,1983-08-29,FIN,FIN,74,209,-,-,-,-,8474550,https://assets.nhle.com/mugs/nhl/20142015/SJS/8474550.png
2014-2015,Antti Raanta,CHI,G,9.0,21.0,7.0,41.0,53.0,4.0,1.0,14.0,18.0,25.0,25.0,5.0,15.0,Backup,14,0.936,1.89,30.51,25,25,1989-05-12,FIN,FIN,72,195,-,-,-,-,8477293,https://assets.nhle.com/mugs/nhl/20142015/CHI/8477293.png
2014-2015,Ben Bishop,TBL,G,16.0,24.0,13.0,14.0,26.0,22.0,26.0,26.0,24.0,27.0,27.0,25.0,8.0,Starter,62,0.916,2.33,134.15,136,27,1986-11-21,USA,USA,79,210,2005,3,24,85,8471750,https://assets.nhle.com/mugs/nhl/20142015/TBL/8471750.png
