Season,Player,Team,Position,ovr_pct,evo_pct,evd_pct,ppl_pct,pkl_pct,fin_pct,gol_pct,xgl_pct,ast_pct,pen_pct,hit_pct,ozs_pct,pdo_pct,tmt_pct,cmp_pct,ovr_rank,evo_rank,evd_rank,ppl_rank,pkl_rank,fin_rank,gol_rank,xgl_rank,ast_rank,pen_rank,hit_rank,ozs_rank,pdo_rank,tmt_rank,cmp_rank,all_players,ppl_players,pkl_players,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Player ID,Specific Position,Height (in),Weight (lbs),Date of Birth,Birth Country,Draft Year,Draft Round,Overall Draft Position,Shoots Catches,Age,ovr_history,evo_history,evd_history,team_history
2018-2019,Aaron Ekblad,FLA,D,63.0,52.7,57.6,66.7,86.1,89.7,89.7,91.8,23.0,25.5,29.2,29.2,38.3,58.4,97.9,91,116,104,35.0,26.0,26,26,21,188,153,173,173,151,102,6,243,102,180,First Pair,82.0,1938.8166666666664,13.0,24.0,37.0,9.177835480171556,49.382716049382715,48.841669738374755,8477932,D,76.0,220.0,1996-02-07,CAN,2014.0,1.0,1.0,R,22,"[78, 56, 14, 21, 88]","[57, 28, 17, 52, 63]","[69, 73, 51, 28, 74]","['FLA', 'FLA', 'FLA', 'FLA', 'FLA']"
2018-2019,Adam Larsson,EDM,D,48.6,53.9,85.2,,81.7,31.3,33.7,26.7,19.3,5.8,93.4,24.7,11.1,49.8,69.5,126,113,37,,34.0,168,162,179,197,199,17,184,217,123,75,243,102,180,Second Pair,82.0,1773.1,3.0,17.0,20.0,4.159415632988782,36.36363636363637,48.33682021104556,8476457,D,75.0,207.0,1992-11-12,SWE,2011.0,1.0,4.0,R,25,"[36, 26, 31, 52, 60]","[15, 5, 48, 59, 53]","[73, 94, 72, 78, 87]","['NJD', 'NJD', 'EDM', 'EDM', 'EDM']"
2018-2019,Adam McQuaid,CBJ,D,26.3,7.0,67.9,,77.2,72.4,62.6,4.1,3.7,29.6,90.1,45.3,42.8,62.6,49.4,180,227,79,,42.0,68,92,234,235,143,25,134,140,92,124,243,102,180,Third Pair,50.0,788.8666666666667,3.0,4.0,7.0,1.4885772605201384,48.07692307692308,47.05103921274233,8471717,D,76.0,210.0,1986-10-12,CAN,2005.0,2.0,55.0,R,31,"[61, 27, 65, 30, 23]","[10, 6, 7, 16, 7]","[92, 80, 88, 60, 69]","['BOS', 'BOS', 'BOS', 'BOS', 'CBJ']"
2018-2019,Adam Pelech,NYI,D,69.1,37.4,83.5,,12.8,56.4,68.3,65.8,46.5,75.3,72.8,17.3,89.3,54.3,57.2,76,153,41,,158.0,107,78,84,131,50,67,202,27,112,105,243,102,180,Second Pair,78.0,1453.1,5.0,16.0,21.0,4.865160333238069,60.97560975609756,53.89356816559806,8476917,D,75.0,212.0,1994-08-16,CAN,2012.0,3.0,65.0,L,24,"[None, None, 43, 46, 82]","[None, None, 14, 68, 28]","[None, None, 33, 49, 93]","[None, None, 'NYI', 'NYI', 'NYI']"
2018-2019,Alec Martinez,LAK,D,27.2,67.5,8.6,78.4,62.8,88.9,79.8,35.8,12.8,41.2,44.9,44.4,66.3,59.3,44.9,178,80,223,23.0,68.0,28,50,157,213,118,135,136,83,100,135,243,102,180,Second Pair,60.0,1281.7833333333333,4.0,14.0,18.0,4.467550663002262,50.0,47.93293047203455,8474166,D,73.0,210.0,1987-07-26,USA,2007.0,4.0,95.0,L,31,"[81, 69, 83, 6, 44]","[71, 65, 90, 30, 76]","[59, 73, 51, 6, 9]","['LAK', 'LAK', 'LAK', 'LAK', 'LAK']"
2018-2019,Alex Biega,VAN,D,19.8,59.3,25.9,,,12.3,30.5,94.7,90.5,17.7,95.9,70.0,41.6,7.4,28.8,196,100,181,,,214,170,14,24,171,11,74,143,226,174,243,102,180,Third Pair,41.0,724.5166666666667,2.0,14.0,16.0,3.035871813204375,47.61904761904761,49.467422994182485,8473415,D,70.0,195.0,1988-04-04,CAN,2006.0,5.0,147.0,R,30,"[None, 22, 21, 17, 23]","[None, 33, 38, 60, 61]","[None, 20, 29, 28, 29]","[None, 'VAN', 'VAN', 'VAN', 'VAN']"
2018-2019,Alex Goligoski,ARI,D,71.2,84.4,21.0,14.7,76.1,80.2,46.1,18.1,65.0,82.3,40.3,28.4,23.9,5.8,57.6,71,39,193,88.0,44.0,49,132,200,86,38,146,175,186,230,104,243,102,180,Second Pair,76.0,1582.0833333333333,3.0,24.0,27.0,4.324669263255151,47.91666666666667,49.82970096147293,8471274,D,71.0,173.0,1985-07-30,USA,2004.0,2.0,61.0,L,33,"[100, 97, 45, 70, 78]","[99, 99, 87, 85, 82]","[98, 72, 10, 16, 30]","['DAL', 'DAL', 'ARI', 'ARI', 'ARI']"
2018-2019,Alex Pietrangelo,STL,D,93.4,96.7,28.0,5.9,93.9,94.2,86.8,77.4,66.7,93.8,14.8,41.2,63.4,82.7,86.0,17,9,176,97.0,12.0,15,33,56,82,16,208,144,90,43,35,243,102,180,First Pair,71.0,1709.4666666666667,13.0,28.0,41.0,10.360647246011164,53.98230088495575,53.93794487716804,8474565,D,75.0,215.0,1990-01-18,CAN,2008.0,1.0,4.0,R,28,"[84, 86, 95, 88, 93]","[85, 97, 96, 92, 97]","[10, 12, 59, 23, 28]","['STL', 'STL', 'STL', 'STL', 'STL']"
2018-2019,Alexander Edler,VAN,D,19.3,9.1,46.1,85.3,97.2,76.5,63.0,31.3,32.9,2.9,76.5,25.5,24.3,17.3,99.6,197,222,132,16.0,6.0,58,91,168,164,205,58,182,185,202,2,243,102,180,First Pair,56.0,1375.9166666666667,10.0,24.0,34.0,4.746377732360504,46.75324675324675,46.95477740574446,8471303,D,76.0,210.0,1986-04-21,SWE,2004.0,3.0,91.0,L,32,"[19, 26, 10, 9, 33]","[24, 27, 33, 14, 7]","[63, 34, 6, 38, 68]","['VAN', 'VAN', 'VAN', 'VAN', 'VAN']"
2018-2019,Alexander Petrovic,EDM,D,18.9,54.7,24.7,,57.8,25.1,10.3,50.6,17.3,18.9,96.7,70.8,0.8,38.7,9.5,198,111,184,,77.0,183,219,121,202,168,9,72,242,150,221,243,102,180,Third Pair,35.0,578.4166666666666,0.0,2.0,2.0,1.8514123356655392,24.324324324324326,43.21177804703573,8475755,D,77.0,215.0,1992-03-03,CAN,2010.0,2.0,36.0,R,26,"[45, 42, 32, 20, 19]","[51, 59, 67, 70, 41]","[38, 35, 25, 32, 23]","['FLA', 'FLA', 'FLA', 'FLA', 'EDM']"
