Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID
2018-2019,Aaron Ekblad,FLA,D,80.0,225.0,21.0,93.0,103.0,197.0,57.0,28.0,155.0,163.0,114.0,146.0,,42.0,First Pair,82,1938.8166666667,13,8,22,1996-02-07,CAN,CAN,76,215,2014,1,1,1,8477932.0
2018-2019,Adam Larsson,EDM,D,155.0,139.0,,76.0,84.0,146.0,153.0,164.0,186.0,225.0,182.0,13.0,,108.0,Second Pair,82,1773.1,3,8,25,1992-11-12,SWE,SWE,75,209,2011,1,4,4,8476457.0
2018-2019,Adam McQuaid,CBJ,D,219.0,37.0,,21.0,183.0,107.0,216.0,110.0,231.0,87.0,225.0,15.0,,195.0,Third Pair,50,788.86666666667,3,2,31,1986-10-12,CAN,CAN,76,210,2005,2,25,55,8471717.0
2018-2019,Adam McQuaid,NYR,D,219.0,37.0,,21.0,183.0,107.0,216.0,110.0,231.0,87.0,225.0,15.0,,195.0,Third Pair,50,788.86666666667,3,2,31,1986-10-12,CAN,CAN,76,210,2005,2,25,55,8471717.0
2018-2019,Adam Pelech,NYI,D,115.0,35.0,,153.0,125.0,97.0,103.0,83.0,128.0,212.0,119.0,66.0,,119.0,Second Pair,78,1453.1,5,7,24,1994-08-16,CAN,CAN,75,210,2012,3,4,65,8476917.0
2018-2019,Alec Martinez,LAK,D,177.0,156.0,49.0,38.0,105.0,188.0,211.0,65.0,204.0,170.0,97.0,132.0,,55.0,Second Pair,60,1281.7833333333,4,6,31,1987-07-26,USA,USA,73,210,2007,4,4,95,8474166.0
2018-2019,Alex Biega,VAN,D,22.0,153.0,,,97.0,132.0,6.0,116.0,22.0,67.0,207.0,12.0,,97.0,Third Pair,41,724.51666666667,2,7,30,1988-04-04,CAN,CAN,70,195,2006,5,24,147,8473415.0
2018-2019,Alex Goligoski,ARI,D,130.0,162.0,81.0,24.0,87.0,194.0,170.0,152.0,95.0,183.0,49.0,141.0,,61.0,Second Pair,76,1581.8833333333,3,12,33,1985-07-30,USA,USA,71,173,2004,2,31,61,8471274.0
2018-2019,Alex Petrovic,EDM,D,197.0,141.0,,11.0,179.0,145.0,101.0,209.0,213.0,49.0,222.0,7.0,,193.0,Third Pair,35,578.41666666667,0,0,26,1992-03-03,CAN,CAN,76,220,2010,2,6,36,
2018-2019,Alex Pietrangelo,STL,D,38.0,23.0,58.0,39.0,45.0,96.0,51.0,35.0,89.0,126.0,13.0,202.0,,12.0,First Pair,71,1709.2833333333,13,9,28,1990-01-18,CAN,CAN,75,215,2008,1,4,4,8474565.0
2018-2019,Alexander Edler,VAN,D,165.0,24.0,8.0,27.0,213.0,167.0,63.0,94.0,166.0,210.0,224.0,51.0,,8.0,First Pair,56,1375.9166666667,10,17,32,1986-04-21,SWE,SWE,76,210,2004,3,26,91,8471303.0
2018-2019,Andrew MacDonald,PHI,D,195.0,72.0,,32.0,197.0,141.0,181.0,183.0,126.0,185.0,80.0,195.0,,123.0,Third Pair,47,770.53333333333,0,3,31,1986-09-07,CAN,CAN,73,204,2006,6,7,160,8473584.0
2018-2019,Andy Greene,NJD,D,182.0,49.0,,16.0,170.0,189.0,173.0,165.0,159.0,232.0,41.0,181.0,,76.0,Second Pair,82,1708.3666666667,5,12,35,1982-10-30,USA,USA,71,190,-,-,-,-,8472382.0
2018-2019,Andy Welinski,ANA,D,125.0,228.0,,,189.0,216.0,94.0,115.0,78.0,1.0,32.0,37.0,,219.0,Third Pair,26,417.03333333333,1,2,25,1993-04-27,USA,USA,74,212,2011,3,22,83,8476407.0
2018-2019,Anthony Bitetto,NSH,D,222.0,118.0,,,212.0,165.0,164.0,211.0,226.0,18.0,192.0,17.0,,230.0,Fringe,36,429.3,0,1,28,1990-07-15,USA,USA,73,222,2010,6,18,168,8475868.0
2018-2019,Anthony Bitetto,MIN,D,222.0,118.0,,,212.0,165.0,164.0,211.0,226.0,18.0,192.0,17.0,,230.0,Fringe,36,429.3,0,1,28,1990-07-15,USA,USA,73,222,2010,6,18,168,8475868.0
2018-2019,Anton Stralman,TBL,D,90.0,97.0,,78.0,61.0,137.0,131.0,166.0,87.0,116.0,26.0,148.0,,110.0,Second Pair,47,964.58333333333,2,5,32,1986-08-01,SWE,SWE,71,193,2005,7,22,216,8471873.0
2018-2019,Ben Chiarot,WPG,D,134.0,61.0,,90.0,214.0,63.0,118.0,124.0,46.0,56.0,211.0,39.0,,126.0,Second Pair,78,1452.0666666667,5,10,27,1991-05-09,CAN,CAN,75,232,2009,4,29,120,8475279.0
2018-2019,Ben Harpur,OTT,D,228.0,229.0,,141.0,217.0,228.0,213.0,219.0,196.0,206.0,69.0,38.0,,227.0,Third Pair,51,898.65,1,3,23,1995-01-12,CAN,CAN,78,231,2013,4,17,108,8477433.0
2018-2019,Ben Hutton,VAN,D,213.0,177.0,74.0,62.0,193.0,207.0,106.0,187.0,232.0,110.0,115.0,178.0,,111.0,First Pair,69,1542.55,5,5,25,1993-04-20,CAN,CAN,75,201,2012,5,26,147,8477018.0
2018-2019,Ben Lovejoy,DAL,D,149.0,32.0,,10.0,157.0,49.0,67.0,163.0,172.0,229.0,210.0,115.0,,161.0,Third Pair,71,1213.1333333333,2,3,34,1984-02-20,USA,USA,73,205,-,-,-,-,8473933.0
2018-2019,Ben Lovejoy,NJD,D,149.0,32.0,,10.0,157.0,49.0,67.0,163.0,172.0,229.0,210.0,115.0,,161.0,Third Pair,71,1213.1333333333,2,3,34,1984-02-20,USA,USA,73,205,-,-,-,-,8473933.0
2018-2019,Bogdan Kiselevich,FLA,D,141.0,43.0,,4.0,148.0,4.0,233.0,233.0,4.0,11.0,190.0,59.0,,232.0,Third Pair,32,475.33333333333,0,6,28,1990-02-14,RUS,RUS,72,202,-,-,-,-,8480955.0
2018-2019,Brad Hunt,MIN,D,116.0,19.0,20.0,,118.0,28.0,44.0,160.0,184.0,30.0,112.0,208.0,,107.0,Third Pair,42,625.38333333333,5,3,30,1988-08-24,CAN,CAN,69,177,-,-,-,-,8476779.0
2018-2019,Brad Hunt,VGK,D,116.0,19.0,20.0,,118.0,28.0,44.0,160.0,184.0,30.0,112.0,208.0,,107.0,Third Pair,42,625.38333333333,5,3,30,1988-08-24,CAN,CAN,69,177,-,-,-,-,8476779.0
2018-2019,Brady Skjei,NYR,D,94.0,202.0,,98.0,122.0,198.0,95.0,66.0,94.0,106.0,131.0,60.0,,82.0,Second Pair,78,1656.2666666667,8,9,24,1994-03-26,USA,USA,75,210,2012,1,28,28,8476869.0
