Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position
2021-2022,Aaron Ekblad,FLA,D,7.0,70.0,9.0,65.0,19.0,17.0,10.0,2.0,40.0,29.0,128.0,206.0,,6.0,First Pair,61,1519.7,15,13,25,1996-02-07,CAN,CAN,76,215,2014,1,1,1
2021-2022,Adam Boqvist,CBJ,D,92.0,219.0,54.0,,130.0,220.0,130.0,8.0,8.0,119.0,1.0,189.0,,93.0,Third Pair,52,886.38333333333,11,4,21,2000-08-15,SWE,SWE,72,182,2018,1,8,8
2021-2022,Adam Fox,NYR,D,58.0,24.0,3.0,124.0,114.0,66.0,92.0,42.0,100.0,5.0,30.0,240.0,,8.0,First Pair,78,1864.7666666667,11,33,23,1998-02-17,USA,USA,71,182,2016,3,5,66
2021-2022,Adam Larsson,SEA,D,177.0,27.0,,60.0,222.0,56.0,168.0,92.0,214.0,189.0,198.0,36.0,,95.0,First Pair,82,1826.7833333333,8,10,28,1992-11-12,SWE,SWE,75,209,2011,1,4,4
2021-2022,Adam Pelech,NYI,D,119.0,43.0,,50.0,92.0,52.0,150.0,167.0,235.0,128.0,150.0,126.0,,88.0,Second Pair,78,1660.05,3,10,27,1994-08-16,CAN,CAN,75,210,2012,3,4,65
2021-2022,Alec Martinez,VGK,D,40.0,21.0,75.0,140.0,4.0,165.0,146.0,26.0,59.0,151.0,66.0,179.0,,31.0,Second Pair,26,508.05,3,1,34,1987-07-26,USA,USA,73,210,2007,4,4,95
2021-2022,Alex Goligoski,MIN,D,112.0,73.0,53.0,20.0,54.0,89.0,173.0,189.0,60.0,71.0,113.0,154.0,,77.0,Second Pair,72,1364.0666666667,2,11,36,1985-07-30,USA,USA,71,173,2004,2,31,61
2021-2022,Alex Pietrangelo,VGK,D,12.0,48.0,25.0,25.0,31.0,138.0,6.0,17.0,45.0,36.0,74.0,212.0,,7.0,First Pair,80,1971.5833333333,13,17,31,1990-01-18,CAN,CAN,75,215,2008,1,4,4
2021-2022,Alexander Edler,LAK,D,20.0,160.0,96.0,83.0,6.0,190.0,89.0,144.0,217.0,50.0,218.0,90.0,,73.0,Second Pair,41,756.96666666667,3,7,35,1986-04-21,SWE,SWE,76,210,2004,3,26,91
2021-2022,Alexander Romanov,MTL,D,171.0,176.0,,97.0,119.0,149.0,125.0,217.0,104.0,228.0,116.0,25.0,,163.0,Second Pair,79,1611.15,3,2,21,2000-01-06,RUS,RUS,73,215,2018,2,7,38
