Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID,Headshot URL,Team URL
2020-2021,Aaron Ekblad,FLA,D,37.0,100.0,9.0,119.0,85.0,21.0,44.0,19.0,34.0,148.0,59.0,169.0,,19.0,First Pair,35,878.18333333333,11,5,24,1996-02-07,CAN,CAN,76,215,2014,1,1,1,8477932.0,https://assets.nhle.com/mugs/nhl/20202021/FLA/8477932.png,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg
2020-2021,Adam Boqvist,CHI,D,137.0,191.0,78.0,,97.0,194.0,170.0,53.0,166.0,20.0,1.0,115.0,,101.0,Third Pair,34,576.98333333333,2,2,20,2000-08-15,SWE,SWE,72,182,2018,1,8,8,8480871.0,https://assets.nhle.com/mugs/nhl/20202021/CHI/8480871.png,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg
2020-2021,Adam Fox,NYR,D,58.0,19.0,8.0,79.0,96.0,76.0,107.0,65.0,21.0,141.0,108.0,192.0,,15.0,First Pair,55,1358.85,5,19,22,1998-02-17,USA,USA,71,182,2016,3,5,66,8479323.0,https://assets.nhle.com/mugs/nhl/20202021/NYR/8479323.png,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg
2020-2021,Adam Larsson,EDM,D,178.0,24.0,,69.0,180.0,82.0,143.0,90.0,180.0,193.0,157.0,12.0,,102.0,Second Pair,56,1100.25,4,2,27,1992-11-12,SWE,SWE,75,209,2011,1,4,4,8476457.0,https://assets.nhle.com/mugs/nhl/20202021/EDM/8476457.png,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg
2020-2021,Adam Pelech,NYI,D,95.0,45.0,,100.0,56.0,30.0,108.0,102.0,133.0,197.0,104.0,78.0,,91.0,Second Pair,56,1178.35,4,5,26,1994-08-16,CAN,CAN,75,210,2012,3,4,65,8476917.0,https://assets.nhle.com/mugs/nhl/20202021/NYI/8476917.png,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg
2020-2021,Alec Martinez,VGK,D,41.0,16.0,25.0,57.0,12.0,143.0,145.0,27.0,65.0,51.0,72.0,155.0,,20.0,First Pair,53,1195.9833333333,9,9,33,1987-07-26,USA,USA,73,210,2007,4,4,95,8474166.0,https://assets.nhle.com/mugs/nhl/20202021/VGK/8474166.png,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg
2020-2021,Alex Goligoski,ARI,D,120.0,106.0,68.0,68.0,79.0,151.0,134.0,131.0,115.0,72.0,66.0,102.0,,54.0,First Pair,56,1288.3666666667,3,7,35,1985-07-30,USA,USA,71,173,2004,2,31,61,8471274.0,https://assets.nhle.com/mugs/nhl/20202021/ARI/8471274.png,https://assets.nhle.com/logos/nhl/svg/ARI_light.svg
2020-2021,Alex Pietrangelo,VGK,D,4.0,41.0,42.0,19.0,16.0,126.0,3.0,7.0,40.0,62.0,21.0,180.0,,5.0,First Pair,41,1001.7333333333,7,7,30,1990-01-18,CAN,CAN,75,215,2008,1,4,4,8474565.0,https://assets.nhle.com/mugs/nhl/20202021/VGK/8474565.png,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg
2020-2021,Alexander Edler,VAN,D,70.0,78.0,,70.0,106.0,190.0,35.0,170.0,39.0,199.0,194.0,43.0,,34.0,Second Pair,52,1087.1333333333,0,5,34,1986-04-21,SWE,SWE,76,210,2004,3,26,91,8471303.0,https://assets.nhle.com/mugs/nhl/20202021/VAN/8471303.png,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg
2020-2021,Alexander Romanov,MTL,D,136.0,162.0,,112.0,83.0,87.0,86.0,171.0,171.0,34.0,51.0,10.0,,168.0,Third Pair,54,931.83333333333,1,3,20,2000-01-06,RUS,RUS,73,215,2018,2,7,38,8481014.0,https://assets.nhle.com/mugs/nhl/20202021/MTL/8481014.png,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg
2020-2021,Andrej Sekera,DAL,D,176.0,72.0,,73.0,163.0,27.0,179.0,81.0,167.0,70.0,87.0,123.0,,171.0,Third Pair,46,719.43333333333,3,1,34,1986-06-08,SVK,SVK,72,200,2004,3,6,71,8471284.0,https://assets.nhle.com/mugs/nhl/20202021/DAL/8471284.png,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg
2020-2021,Andy Greene,NYI,D,175.0,30.0,,9.0,148.0,137.0,171.0,156.0,168.0,82.0,82.0,171.0,,109.0,Third Pair,55,967.03333333333,1,2,37,1982-10-30,USA,USA,71,190,-,-,-,-,8472382.0,https://assets.nhle.com/mugs/nhl/20202021/NYI/8472382.png,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg
