Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position
2017-2018,Aaron Ekblad,FLA,D,56.0,207.0,28.0,155.0,143.0,165.0,9.0,6.0,70.0,171.0,192.0,161.0,,38.0,First Pair,82,1917.9,16,6,29,1996-02-07,CAN,CAN,76,215,2014,1,1,1
2017-2018,Adam Larsson,EDM,D,169.0,71.0,,30.0,70.0,133.0,188.0,150.0,227.0,219.0,180.0,11.0,,93.0,Second Pair,63,1381.7333333333,4,2,32,1992-11-12,SWE,SWE,75,209,2011,1,4,4
2017-2018,Adam McQuaid,BOS,D,191.0,34.0,,1.0,69.0,57.0,198.0,203.0,14.0,235.0,227.0,25.0,,186.0,Third Pair,38,596.71666666667,1,0,38,1986-10-12,CAN,CAN,76,210,2005,2,25,55
2017-2018,Adam Pelech,NYI,D,177.0,170.0,,156.0,183.0,214.0,175.0,136.0,228.0,207.0,74.0,92.0,,132.0,Second Pair,78,1503.3833333333,3,6,31,1994-08-16,CAN,CAN,75,210,2012,3,4,65
2017-2018,Alec Martinez,LAK,D,147.0,59.0,10.0,5.0,86.0,131.0,122.0,37.0,75.0,76.0,150.0,105.0,,42.0,First Pair,77,1760.4166666667,9,10,38,1987-07-26,USA,USA,73,210,2007,4,4,95
2017-2018,Alex Biega,VAN,D,132.0,166.0,,,180.0,160.0,43.0,228.0,83.0,164.0,229.0,4.0,,192.0,Third Pair,44,660.9,1,4,37,1988-04-04,CAN,CAN,70,195,2006,5,24,147
2017-2018,Alex Goligoski,ARI,D,86.0,224.0,51.0,70.0,137.0,228.0,163.0,49.0,199.0,52.0,70.0,118.0,,48.0,First Pair,78,1813.85,12,16,40,1985-07-30,USA,USA,71,173,2004,2,31,61
2017-2018,Alex Petrovic,FLA,D,139.0,54.0,,138.0,118.0,41.0,177.0,197.0,109.0,100.0,235.0,16.0,,188.0,Third Pair,67,982.0,2,5,33,1992-03-03,CAN,CAN,76,220,2010,2,6,36
2017-2018,Alex Pietrangelo,STL,D,31.0,38.0,45.0,27.0,94.0,98.0,40.0,19.0,184.0,30.0,8.0,224.0,,8.0,First Pair,78,2007.45,15,19,35,1990-01-18,CAN,CAN,75,215,2008,1,4,4
2017-2018,Alexander Edler,VAN,D,158.0,104.0,43.0,26.0,214.0,195.0,49.0,87.0,192.0,86.0,218.0,83.0,,21.0,First Pair,70,1699.4166666667,6,16,39,1986-04-21,SWE,SWE,76,210,2004,3,26,91
2017-2018,Alexei Emelin,NSH,D,213.0,78.0,,56.0,162.0,78.0,213.0,224.0,155.0,209.0,196.0,12.0,,193.0,Third Pair,76,1282.9833333333,1,5,39,1986-04-25,RUS,RUS,74,218,2004,3,19,84
